ExtendedData/Data/0/value,ExtendedData/Data/0/_name,ExtendedData/Data/1/value,ExtendedData/Data/1/_name,longitude,latitude,altitude
0,system:index,8ed8a4b3,label,-118.1506633758545,37.73094604426975,0
1,system:index,848bb8fb,label,-118.1450843811035,37.72999567755061,0
2,system:index,effafb84,label,-118.1444835662842,37.72741604925924,0
3,system:index,8615e7e4,label,-118.1391620635986,37.72952048961719,0
4,system:index,19356a7a,label,-118.1402778625488,37.72544732510863,0
5,system:index,6735dad9,label,-118.1316947937012,37.72585465164038,0
6,system:index,47dbe60b,label,-118.1261157989502,37.72212074124947,0
7,system:index,a8b4f0d7,label,-118.125,37.72463266532466,0
8,system:index,4d330368,label,-118.1202793121338,37.72218863220941,0
9,system:index,bc26b275,label,-118.1171894073486,37.72313909911475,0
10,system:index,fac85569,label,-118.1147861480713,37.72157761132996,0
