ExtendedData/Data/0/value,ExtendedData/Data/0/_name,ExtendedData/Data/1/value,ExtendedData/Data/1/_name,longitude,latitude,altitude
0,system:index,8ed8a4b3,label,-118.1506633759,37.7309460443,0
1,system:index,848bb8fb,label,-118.1450843811,37.7299956776,0
2,system:index,effafb84,label,-118.1444835663,37.7274160493,0
3,system:index,8615e7e4,label,-118.1391620636,37.7295204896,0
4,system:index,19356a7a,label,-118.1402778625,37.7254473251,0
5,system:index,6735dad9,label,-118.1316947937,37.7258546516,0
6,system:index,47dbe60b,label,-118.126115799,37.7221207412,0
7,system:index,a8b4f0d7,label,-118.125,37.7246326653,0
8,system:index,4d330368,label,-118.1202793121,37.7221886322,0
9,system:index,bc26b275,label,-118.1171894073,37.7231390991,0
10,system:index,fac85569,label,-118.1147861481,37.7215776113,0
