B1_BCET,B2_BCET,B3_BCET,B4_BCET,B5_BCET,B6_BCET,B7_BCET,label,surface
138.9105937488,140.2110906313,135.9840282888,127.2056068874,117.5766395789,112.0297173298,102.7125026498,bb4cef04,A
135.4699897394,136.639134922,133.5462922977,125.413801351,116.612566337,112.0761786814,101.7457800432,8f651825,A
143.3980512108,143.7201138951,136.8908963869,126.2587507599,115.4075143025,109.6910976367,101.5184921221,b8cb6e68,A
142.4612663102,142.8011437746,136.7451035103,127.3995111605,116.9635761676,109.7721671727,105.3945812715,24f0398c,A
142.0123272088,142.098725103,135.8609169043,126.0158793264,115.9622555283,109.8579591584,102.0754643417,80569223,A
145.800943337,145.3869506874,137.463452891,126.6756495027,115.3965054985,110.150726584,107.1367811232,d66d79ea,A
143.9876584024,142.5796313855,135.1369610408,125.1587870685,113.7548557202,108.2554927633,102.9060030846,e9fc1f9f,A
142.6875490046,140.7236441956,133.1820925369,122.4543056437,110.5035648846,106.169542804,104.5988335797,9621efd0,A
147.8950684644,146.411722642,136.6758750677,124.3578540606,112.5472775387,106.3231635568,101.859446003,d2daa226,A
143.8063041816,142.7798969716,135.1369610408,125.0776107728,116.1117855042,113.3500319598,110.2612948176,a71bbad2,A
143.5917583291,144.0160098487,137.0814979045,126.1462342059,114.1827836168,108.2225648686,104.4397800164,6028068,A
103.5950613574,102.9027062448,101.894684592,101.7457281697,98.4347903803,105.4708643416,116.2308476325,757d48f5,C
101.2494077028,100.3148426284,98.9236883054,99.8317007165,97.7397775569,101.4451706361,113.0764640181,cec8b806,C
101.3463088235,99.0061867582,94.2179332441,93.7513939014,92.043099508,98.0473016304,109.3630465291,cd9015ac,C
106.364927634,106.4356740414,103.7018650596,101.402817258,98.9065857773,102.6721481975,111.4352990797,a7b7d090,C
104.9453540778,103.2227718457,99.6515085498,100.1513043846,99.7652050329,100.1923639546,109.6946911298,aef157e7,C
94.5285607995,90.5101292863,83.0787272333,85.1392909185,86.2038659708,92.6200291249,104.3489129175,2b63ed61,C
95.8733778317,91.0539362042,85.460855667,87.1432999676,87.0657964991,93.7356136097,106.3391998537,de1ae0e1,C
104.0293955991,100.4005662171,93.8336315007,92.4525945777,89.6676713031,93.6448700449,104.9283950121,3b557f71,C
101.2251759884,97.5011181026,91.4211585844,90.3967290316,87.9829109178,91.7502637315,103.327375919,2e365683,C
102.4353851799,98.168090707,91.5051157966,89.793221348,86.1559163163,90.4923709981,101.7750306053,1711eda5,C
